Recording.timestamp	Computer.timestamp	Sensor	Project.name	Participant.name	Recording.duration	Timeline.name	Recording.Fixation.filter.name	Recording.software.version	Recording.resolution.height	Recording.resolution.width	Recording.monitor.latency	Average.calibration.accuracy..mm.	Average.calibration.precision.SD..mm.	Average.calibration.precision.RMS..mm.	Average.calibration.accuracy..degrees.	Average.calibration.precision.SD..degrees.	Average.calibration.precision.RMS..degrees.	Average.calibration.accuracy..pixels.	Average.calibration.precision.SD..pixels.	Average.calibration.precision.RMS..pixels.	Average.validation.accuracy..mm.	Average.validation.precision.SD..mm.	Average.validation.precision.RMS..mm.	Average.validation.accuracy..degrees.	Average.validation.precision.SD..degrees.	Average.validation.precision.RMS..degrees.	Average.validation.accuracy..pixels.	Average.validation.precision.SD..pixels.	Average.validation.precision.RMS..pixels.	Eyetracker.timestamp	Event	Event.value	Gaze.point.X	Gaze.point.Y	Gaze.point.left.X	Gaze.point.left.Y	Gaze.point.right.X	Gaze.point.right.Y	Gaze.direction.left.X	Gaze.direction.left.Y	Gaze.direction.left.Z	Gaze.direction.right.X	Gaze.direction.right.Y	Gaze.direction.right.Z	Pupil.diameter.left	Pupil.diameter.right	Pupil.diameter.filtered	Eye.openness.left	Eye.openness.right	Eye.openness.filtered	Validity.left	Validity.right	Eye.position.left.X..DACSmm.	Eye.position.left.Y..DACSmm.	Eye.position.left.Z..DACSmm.	Eye.position.right.X..DACSmm.	Eye.position.right.Y..DACSmm.	Eye.position.right.Z..DACSmm.	Gaze.point.left.X..DACSmm.	Gaze.point.left.Y..DACSmm.	Gaze.point.right.X..DACSmm.	Gaze.point.right.Y..DACSmm.	Gaze.point.X..MCSnorm.	Gaze.point.Y..MCSnorm.	Gaze.point.left.X..MCSnorm.	Gaze.point.left.Y..MCSnorm.	Gaze.point.right.X..MCSnorm.	Gaze.point.right.Y..MCSnorm.	Presented.Stimulus.name	Presented.Media.name	Presented.Media.width	Presented.Media.height	Presented.Media.position.X..DACSpx.	Presented.Media.position.Y..DACSpx.	Original.Media.width	Original.Media.height	Eye.movement.type	Gaze.event.duration	Eye.movement.type.index	Fixation.point.X	Fixation.point.Y	Fixation.point.X..MCSnorm.	Fixation.point.Y..MCSnorm.	Ungrouped	Client.area.position.X..DACSpx.	Client.area.position.Y..DACSpx.	Viewport.position.X	Viewport.position.Y	Viewport.width	Viewport.height	Full.page.width	Full.page.height	Mouse.position.X	Mouse.position.Y
229712	1449481376205	Eye Tracker	daza_exp2	35	49464	session6	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	1675432347			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Invalid	Invalid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	EyesNotFound	183	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
238045	1449481384538	Eye Tracker	daza_exp2	35	49464	session6	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	1675440680			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Invalid	Invalid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	EyesNotFound	183	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
246378	1449481392871	Eye Tracker	daza_exp2	35	49464	session6	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	1675449013			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Invalid	Invalid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	EyesNotFound	183	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
254711	1449481401204	Eye Tracker	daza_exp2	35	49464	session6	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	1675457346			1266	816	1265	849	1267	783	0.23075	0.19212	-0.95386	0.13934	0.17623	-0.97444	2.317	2.242	2.28	NA	NA	NA	Valid	Valid	201.7	111.8	604.6	262.2	106.4	602.1	348	233.6	348.3	215.3	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	Unclassified	50	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
263043	1449481409536	Eye Tracker	daza_exp2	35	49464	session6	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	1675465678			1266	814	1267	846	1265	783	0.23137	0.19071	-0.95399	0.13863	0.17602	-0.97458	2.312	2.229	2.273	NA	NA	NA	Valid	Valid	201.7	111.8	604.6	262.3	106.5	602	348.4	232.7	347.9	215.2	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	Unclassified	50	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
271376	1449481417869	Eye Tracker	daza_exp2	35	49464	session6	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	1675474011			1264	811	1269	846	1259	775	0.23243	0.19069	-0.95374	0.1361	0.17297	-0.97548	2.315	2.231	2.277	NA	NA	NA	Valid	Valid	201.7	111.8	604.7	262.3	106.5	602	349.1	232.7	346.3	213.2	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	Unclassified	50	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
279709	1449481426202	Eye Tracker	daza_exp2	35	49464	session6	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	1675482344			1266	811	1265	845	1267	777	0.2307	0.19031	-0.95423	0.13946	0.17349	-0.97491	2.318	2.237	2.278	NA	NA	NA	Valid	Valid	201.7	111.7	604.7	262.3	106.5	602	347.9	232.3	348.4	213.6	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	Unclassified	50	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
288043	1449481434536	Eye Tracker	daza_exp2	35	49464	session6	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	1675490678			1268	811	1268	840	1267	782	0.23187	0.18828	-0.95435	0.13962	0.17599	-0.97444	2.321	2.256	2.283	NA	NA	NA	Valid	Valid	201.7	111.7	604.6	262.3	106.4	602	348.6	231	348.5	215.2	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	Unclassified	50	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
296375	1449481442868	Eye Tracker	daza_exp2	35	49464	session6	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	1675499011			1267	810	1266	841	1267	779	0.23127	0.18896	-0.95436	0.13951	0.17473	-0.97468	2.327	2.246	2.289	NA	NA	NA	Valid	Valid	201.7	111.7	604.6	262.3	106.3	602.1	348.3	231.4	348.5	214.3	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	Unclassified	50	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
304708	1449481451201	Eye Tracker	daza_exp2	35	49464	session6	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	1675507344			1260	797	1264	823	1256	771	0.23079	0.18146	-0.95593	0.13502	0.17121	-0.97594	2.341	2.262	2.298	NA	NA	NA	Valid	Valid	201.7	111.6	604.7	262.2	106.4	601.8	347.7	226.4	345.5	212	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	Saccade	17	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
