Recording.timestamp	Computer.timestamp	Sensor	Project.name	Participant.name	Recording.duration	Timeline.name	Recording.Fixation.filter.name	Recording.software.version	Recording.resolution.height	Recording.resolution.width	Recording.monitor.latency	Average.calibration.accuracy..mm.	Average.calibration.precision.SD..mm.	Average.calibration.precision.RMS..mm.	Average.calibration.accuracy..degrees.	Average.calibration.precision.SD..degrees.	Average.calibration.precision.RMS..degrees.	Average.calibration.accuracy..pixels.	Average.calibration.precision.SD..pixels.	Average.calibration.precision.RMS..pixels.	Average.validation.accuracy..mm.	Average.validation.precision.SD..mm.	Average.validation.precision.RMS..mm.	Average.validation.accuracy..degrees.	Average.validation.precision.SD..degrees.	Average.validation.precision.RMS..degrees.	Average.validation.accuracy..pixels.	Average.validation.precision.SD..pixels.	Average.validation.precision.RMS..pixels.	Eyetracker.timestamp	Event	Event.value	Gaze.point.X	Gaze.point.Y	Gaze.point.left.X	Gaze.point.left.Y	Gaze.point.right.X	Gaze.point.right.Y	Gaze.direction.left.X	Gaze.direction.left.Y	Gaze.direction.left.Z	Gaze.direction.right.X	Gaze.direction.right.Y	Gaze.direction.right.Z	Pupil.diameter.left	Pupil.diameter.right	Pupil.diameter.filtered	Eye.openness.left	Eye.openness.right	Eye.openness.filtered	Validity.left	Validity.right	Eye.position.left.X..DACSmm.	Eye.position.left.Y..DACSmm.	Eye.position.left.Z..DACSmm.	Eye.position.right.X..DACSmm.	Eye.position.right.Y..DACSmm.	Eye.position.right.Z..DACSmm.	Gaze.point.left.X..DACSmm.	Gaze.point.left.Y..DACSmm.	Gaze.point.right.X..DACSmm.	Gaze.point.right.Y..DACSmm.	Gaze.point.X..MCSnorm.	Gaze.point.Y..MCSnorm.	Gaze.point.left.X..MCSnorm.	Gaze.point.left.Y..MCSnorm.	Gaze.point.right.X..MCSnorm.	Gaze.point.right.Y..MCSnorm.	Presented.Stimulus.name	Presented.Media.name	Presented.Media.width	Presented.Media.height	Presented.Media.position.X..DACSpx.	Presented.Media.position.Y..DACSpx.	Original.Media.width	Original.Media.height	Eye.movement.type	Gaze.event.duration	Eye.movement.type.index	Fixation.point.X	Fixation.point.Y	Fixation.point.X..MCSnorm.	Fixation.point.Y..MCSnorm.	Ungrouped	Client.area.position.X..DACSpx.	Client.area.position.Y..DACSpx.	Viewport.position.X	Viewport.position.Y	Viewport.width	Viewport.height	Full.page.width	Full.page.height	Mouse.position.X	Mouse.position.Y
0	72415097495		jeudi_exp1	89	68788	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	8.7	18.5	8.1	0.73	1.56	0.68	32	67	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RecordingStart		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17529	72415115024	Eye Tracker	jeudi_exp1	89	68788	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	8.7	18.5	8.1	0.73	1.56	0.68	32	67	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	4131798652			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Invalid	Invalid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	EyesNotFound	758	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25861	72415123356	Eye Tracker	jeudi_exp1	89	68788	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	8.7	18.5	8.1	0.73	1.56	0.68	32	67	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	4131806985			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Invalid	Invalid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	EyesNotFound	758	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34194	72415131689	Eye Tracker	jeudi_exp1	89	68788	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	8.7	18.5	8.1	0.73	1.56	0.68	32	67	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	4131815318			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Invalid	Invalid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	EyesNotFound	758	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42528	72415140023	Eye Tracker	jeudi_exp1	89	68788	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	8.7	18.5	8.1	0.73	1.56	0.68	32	67	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	4131823652			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Invalid	Invalid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	EyesNotFound	758	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50861	72415148356	Eye Tracker	jeudi_exp1	89	68788	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	8.7	18.5	8.1	0.73	1.56	0.68	32	67	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	4131831985			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Invalid	Invalid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	EyesNotFound	758	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59194	72415156689	Eye Tracker	jeudi_exp1	89	68788	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	8.7	18.5	8.1	0.73	1.56	0.68	32	67	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	4131840318			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Invalid	Invalid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	EyesNotFound	758	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67527	72415165022	Eye Tracker	jeudi_exp1	89	68788	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	8.7	18.5	8.1	0.73	1.56	0.68	32	67	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	4131848652			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Invalid	Invalid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	EyesNotFound	758	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75860	72415173355	Eye Tracker	jeudi_exp1	89	68788	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	8.7	18.5	8.1	0.73	1.56	0.68	32	67	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	4131856985			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Invalid	Invalid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	EyesNotFound	758	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84193	72415181688	Eye Tracker	jeudi_exp1	89	68788	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10	8.7	18.5	8.1	0.73	1.56	0.68	32	67	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	4131865318			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Invalid	Invalid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	EyesNotFound	758	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
